date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:59	18300/18300	---M--	200	added ('OK')	image/png	etag:%2225a79885bc6e9a1d91dc1eca83c6d6aa%22	https://d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/ava1.png	D:/CPO/vong-tram/main/1/d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/ava1.png	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:33:59	16080/16080	---M--	200	added ('OK')	image/png	etag:%2224096575ea86309413deb2f184632bda%22	https://d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/ava2.png	D:/CPO/vong-tram/main/1/d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/ava2.png	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:34:01	66332/66332	---M--	200	added ('OK')	image/png	etag:%225bc62a38-1031c%22	http://vongtaygotram.fastbuy.biz/assets/img/sp3.png	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/sp3.png	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:34:01	7106/7106	---M--	200	added ('OK')	image/png	etag:%2265f55447f8a594ca7be4548f4e284034%22	https://d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/hapdan.png	D:/CPO/vong-tram/main/1/d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/hapdan.png	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:34:03	24413/24413	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bd207b4-5f5d%22	http://vongtaygotram.fastbuy.biz/assets/js/flipclock.min.js	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/js/flipclock.min.js	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:34:04	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%221519106283%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	D:/CPO/vong-tram/main/1/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:34:04	8182/8182	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc62a38-1ff6%22	http://vongtaygotram.fastbuy.biz/assets/js/wow.min.js	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/js/wow.min.js	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:34:06	74847/74847	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2004%20Nov%202018%2010:34:06%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/CPO/vong-tram/main/1/connect.facebook.net/en_US/fbevents.js	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:34:07	18151/18151	---M--	200	added ('OK')	application/javascript	etag:%222771e3a87fa312b3cfd1915410ee379d%22	https://d2uk0m3iwj5j1z.cloudfront.net/public/all-offers/cpa-frontend/resource/2018/epage.js?v=1.3	D:/CPO/vong-tram/main/1/d2uk0m3iwj5j1z.cloudfront.net/public/all-offers/cpa-frontend/resource/2018/epagee67d.js	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:34:10	18028/18028	---M--	200	added ('OK')	application/octet-stream	etag:%225bdde52e-466c%22	http://vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.woff2	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.woff2	(from http://vongtaygotram.fastbuy.biz/assets/css/bootstrap.min.css)
